player_id,web_name,season,position,minutes,team,value,value_group,value_category,pts,pts_adj,xpts,xpts_90,color_code,group_color
78916,Burn,20,2,2057,Brighton,4.26296,4.5,<5.5,64,22.0,33.0481,1.55712,#1f77b4,blue
79619,Hogg,17,3,2396,Huddersfield,4.40333,4.5,<5.5,53,7.0,14.9878,0.547009,#1f77b4,blue
79619,Hogg,18,3,2369,Huddersfield,4.4069,4.5,<5.5,54,11.0,9.82005,0.361716,#1f77b4,blue
79733,Malone,17,2,1110,Huddersfield,4.30455,4.5,<5.5,41,12.0,9.18724,0.908216,#1f77b4,blue
79934,Norwood,19,3,3089,Sheffield Utd,4.88158,4.5,<5.5,98,33.0,48.7039,1.34349,#1f77b4,blue
79934,Norwood,20,3,2214,Sheffield Utd,4.59062,4.5,<5.5,54,5.0,10.9128,0.470244,#1f77b4,blue
80146,Ayew,18,4,1176,Crystal Palace,5.765,5.5,5.5-7.5,46,15.0,14.2355,1.08946,#6D597A,purple
80146,Ayew,19,4,3148,Crystal Palace,5.07838,5.5,<5.5,132,64.0,38.8146,1.10969,#1f77b4,blue
80146,Ayew,20,4,2086,Crystal Palace,5.66364,5.5,5.5-7.5,70,18.0,11.9641,0.516189,#6D597A,purple
80146,Jordan Ayew,17,4,2850,Swansea,5.12778,5.5,<5.5,108,46.0,44.0862,1.3122,#1f77b4,blue
80226,Aurier,17,2,1427,Spurs,5.91176,6.5,5.5-7.5,77,48.0,47.3517,2.63788,#6D597A,purple
80226,Aurier,19,2,2699,Spurs,4.98485,5.5,<5.5,124,68.0,36.1816,1.0885,#1f77b4,blue
80226,Aurier,20,2,1605,Spurs,5.2,5.5,<5.5,80,43.0,33.814,1.89599,#1f77b4,blue
80447,Yoshida,17,2,2049,Southampton,4.84167,4.5,<5.5,76,34.0,32.0306,1.3913,#1f77b4,blue
80447,Yoshida,18,2,1518,Southampton,4.11176,4.5,<5.5,44,10.0,20.7886,1.11519,#1f77b4,blue
80607,Eriksen,17,3,3218,Spurs,9.45405,9.5,7.5-10,199,125.0,103.16,2.86663,#E56B6F,red
80607,Eriksen,18,3,2770,Spurs,9.3,9.5,7.5-10,161,99.0,67.1969,2.22022,#E56B6F,red
80607,Eriksen,19,3,1090,Spurs,8.72,8.5,7.5-10,48,23.0,19.6775,1.71076,#E56B6F,red
80755,Williams,17,3,1115,Huddersfield,4.895,4.5,<5.5,28,0.0,4.79003,0.50408,#1f77b4,blue
80801,Gueye,17,3,2749,Everton,4.85758,4.5,<5.5,87,32.0,22.3151,0.724595,#1f77b4,blue
80801,Gueye,18,3,2821,Everton,4.79697,4.5,<5.5,78,19.0,18.093,0.557104,#1f77b4,blue
80954,Rodrigo,20,4,1279,Leeds,5.74231,5.5,5.5-7.5,89,56.0,37.4093,2.6324,#6D597A,purple
81012,Fredericks,18,2,1084,West Ham,4.59333,4.5,<5.5,38,17.0,1.70346,0.505257,#1f77b4,blue
81012,Fredericks,19,2,2235,West Ham,4.46667,4.5,<5.5,74,30.0,11.0324,0.461114,#1f77b4,blue
81183,Vydra,20,4,1359,Burnley,4.83929,4.5,<5.5,62,20.0,30.8278,2.04157,#1f77b4,blue
81880,Chamberlain,17,3,1718,Liverpool,5.71429,5.5,5.5-7.5,94,46.0,39.5178,2.14021,#6D597A,purple
81880,Chamberlain,19,3,1475,Liverpool,6.21,6.5,5.5-7.5,76,33.0,22.269,1.41198,#6D597A,purple
82263,Alonso,17,2,2855,Chelsea,7.06667,7.5,5.5-7.5,165,107.0,82.4284,2.62232,#6D597A,purple
82263,Alonso,18,2,2759,Chelsea,6.73871,6.5,5.5-7.5,161,105.0,87.0474,2.8015,#6D597A,purple
82263,Alonso,19,2,1429,Chelsea,6.14444,6.5,5.5-7.5,100,70.0,45.7605,2.68383,#6D597A,purple
82263,Alonso,20,2,958,Chelsea,5.75385,5.5,5.5-7.5,57,36.0,30.9742,3.28168,#6D597A,purple
82403,Zaha,17,3,2549,Crystal Palace,6.86897,6.5,5.5-7.5,136,84.0,77.9748,2.69429,#6D597A,purple
82403,Zaha,18,4,3037,Crystal Palace,6.82941,6.5,5.5-7.5,143,86.0,44.0945,1.30672,#6D597A,purple
82403,Zaha,19,3,3279,Crystal Palace,6.76316,6.5,5.5-7.5,120,51.0,46.3039,1.2679,#6D597A,purple
82403,Zaha,20,3,2612,Crystal Palace,7.23333,7.5,5.5-7.5,136,84.0,63.7172,2.10503,#6D597A,purple
82514,Ream,18,2,2046,Fulham,4.21538,4.5,<5.5,50,4.0,-0.645199,-0.0974295,#1f77b4,blue
82691,Baldock,19,2,3420,Sheffield Utd,4.82105,4.5,<5.5,142,73.0,32.2981,0.84995,#1f77b4,blue
82691,Baldock,20,2,2787,Sheffield Utd,5.08125,5.5,<5.5,63,8.0,9.11066,0.384642,#1f77b4,blue
83283,Redmond,17,3,1938,Southampton,6.12581,6.5,5.5-7.5,72,24.0,30.4804,1.44774,#6D597A,purple
83283,Redmond,18,3,3272,Southampton,5.31316,5.5,<5.5,137,66.0,63.0065,1.72647,#1f77b4,blue
83283,Redmond,19,3,2763,Southampton,6.24375,6.5,5.5-7.5,107,47.0,48.5039,1.58221,#6D597A,purple
83283,Redmond,20,3,1727,Southampton,6.40345,6.5,5.5-7.5,67,23.0,32.926,1.79078,#6D597A,purple
83299,Dunk,17,2,3420,Brighton,4.46579,4.5,<5.5,97,36.0,39.2851,1.03382,#1f77b4,blue
83299,Dunk,18,2,3151,Brighton,4.44444,4.5,<5.5,91,28.0,15.2989,0.46707,#1f77b4,blue
83299,Dunk,19,2,3230,Brighton,4.69167,4.5,<5.5,128,65.0,50.1045,1.33371,#1f77b4,blue
83299,Dunk,20,2,2932,Brighton,4.87273,4.5,<5.5,130,78.0,59.4632,1.83881,#1f77b4,blue
83314,Hendrick,17,3,2326,Burnley,5.40588,5.5,5.5-7.5,85,26.0,27.5899,1.06875,#6D597A,purple
83314,Hendrick,18,3,2058,Burnley,5.29063,5.5,<5.5,73,23.0,13.9951,0.642316,#1f77b4,blue
83314,Hendrick,19,3,1930,Burnley,5.4,5.5,5.5-7.5,67,30.0,18.2426,0.837847,#6D597A,purple
83314,Hendrick,20,3,1418,Newcastle,4.73636,4.5,<5.5,52,19.0,12.2291,0.759803,#1f77b4,blue
83428,Hanley,19,2,1261,Norwich,4.0,4.5,<5.5,23,0.0,2.77757,0.143023,#1f77b4,blue
83543,Knockaert,17,3,2415,Brighton,5.66061,5.5,5.5-7.5,88,35.0,37.9966,1.35928,#6D597A,purple
83543,Knockaert,18,3,1828,Brighton,5.36333,5.5,<5.5,74,33.0,28.8916,1.48822,#1f77b4,blue
84112,Quaner,17,4,1268,Huddersfield,4.55769,4.5,<5.5,44,12.0,14.928,1.05956,#1f77b4,blue
84450,Xhaka,17,3,3259,Arsenal,5.32895,5.5,<5.5,109,44.0,34.4623,0.95527,#1f77b4,blue
84450,Xhaka,18,3,2498,Arsenal,5.29655,5.5,<5.5,90,44.0,29.6365,1.06995,#1f77b4,blue
84450,Xhaka,19,3,2586,Arsenal,5.18064,5.5,<5.5,73,23.0,13.6917,0.454199,#1f77b4,blue
84450,Xhaka,20,3,2519,Arsenal,5.26129,5.5,<5.5,70,22.0,19.6168,0.695371,#1f77b4,blue
84583,Coutinho,17,3,1109,Liverpool,8.94286,9.5,7.5-10,103,76.0,43.7508,3.52925,#E56B6F,red
84939,Ings,18,4,1650,Southampton,5.52083,5.5,5.5-7.5,90,48.0,48.0849,2.36536,#6D597A,purple
84939,Ings,19,4,2800,Southampton,6.60263,6.5,5.5-7.5,198,134.0,84.8214,2.69097,#6D597A,purple
84939,Ings,20,4,2172,Southampton,8.41035,8.5,7.5-10,131,81.0,41.5936,1.64688,#E56B6F,red
85242,Hourihane,19,3,1526,Aston Villa,5.71481,5.5,5.5-7.5,83,45.0,29.9284,1.7469,#6D597A,purple
85352,Martins Indi,17,2,1242,Stoke,4.92941,5.5,<5.5,20,-6.0,0.523039,0.335323,#1f77b4,blue
85368,Schindler,17,2,3264,Huddersfield,4.5973,4.5,<5.5,102,39.0,28.5917,0.858519,#1f77b4,blue
85368,Schindler,18,2,3260,Huddersfield,4.31622,4.5,<5.5,76,10.0,11.3815,0.268628,#1f77b4,blue
85624,Kabasele,17,2,2329,Watford,4.51786,4.5,<5.5,68,21.0,13.89,0.52401,#1f77b4,blue
85624,Kabasele,18,2,1584,Watford,4.44286,4.5,<5.5,36,3.0,10.4382,0.731315,#1f77b4,blue
85624,Kabasele,19,2,2250,Watford,4.30741,4.5,<5.5,73,28.0,22.4299,0.705979,#1f77b4,blue
85955,Jorginho,18,3,3156,Chelsea,4.82703,4.5,<5.5,96,30.0,35.6567,0.983324,#1f77b4,blue
85955,Jorginho,19,3,2376,Chelsea,4.97419,5.5,<5.5,92,44.0,34.1234,1.20904,#1f77b4,blue
85955,Jorginho,20,3,2006,Chelsea,4.825,4.5,<5.5,114,70.0,36.5847,1.28817,#1f77b4,blue
85971,Son,17,3,2292,Spurs,8.07838,8.5,7.5-10,178,114.0,93.2431,3.60433,#E56B6F,red
85971,Son,18,3,2033,Spurs,8.59677,8.5,7.5-10,159,111.0,63.4543,2.7879,#E56B6F,red
85971,Son,19,3,2478,Spurs,9.73667,9.5,7.5-10,169,119.0,83.5852,2.98655,#E56B6F,red
85971,Son,20,3,3119,Spurs,9.51081,9.5,7.5-10,228,157.0,101.125,2.91605,#E56B6F,red
86153,Montoya,18,2,2166,Brighton,4.352,4.5,<5.5,45,0.0,8.71905,0.369645,#1f77b4,blue
86153,Montoya,19,2,1892,Brighton,4.44074,4.5,<5.5,62,20.0,22.5008,1.1705,#1f77b4,blue
86176,Ince,17,3,2450,Huddersfield,5.65758,5.5,5.5-7.5,82,23.0,48.9941,1.79546,#6D597A,purple
86417,Schlupp,17,2,1742,Crystal Palace,4.7375,4.5,<5.5,50,9.0,26.4084,1.23681,#1f77b4,blue
86417,Schlupp,18,2,1660,Crystal Palace,4.45,4.5,<5.5,91,45.0,32.5808,1.81198,#1f77b4,blue
86417,Schlupp,19,3,1030,Crystal Palace,5.48235,5.5,5.5-7.5,51,26.0,16.1577,1.34915,#6D597A,purple
86417,Schlupp,20,3,1415,Crystal Palace,5.37778,5.5,<5.5,65,27.0,19.4218,1.26953,#1f77b4,blue
86881,Mendy,18,3,2085,Leicester,4.4871,4.5,<5.5,58,10.0,8.87435,0.376051,#1f77b4,blue
86881,Mendy,20,3,1452,Leicester,4.41304,4.5,<5.5,41,7.0,5.82298,0.395991,#1f77b4,blue
86934,Lanzini,17,3,2039,West Ham,6.73704,6.5,5.5-7.5,106,63.0,41.4538,1.76109,#6D597A,purple
86934,Lanzini,19,3,1370,West Ham,6.29583,6.5,5.5-7.5,50,14.0,19.6186,1.38073,#6D597A,purple
87107,Christie,18,2,1941,Fulham,4.23571,4.5,<5.5,42,1.0,5.66322,0.141353,#1f77b4,blue
87428,Kachunga,17,3,1327,Huddersfield,5.9,5.5,5.5-7.5,46,14.0,15.3817,1.0056,#6D597A,purple
87428,Kachunga,18,4,1175,Huddersfield,4.815,4.5,<5.5,29,0.0,4.76257,0.364792,#1f77b4,blue
87835,Doherty,18,2,3141,Wolves,5.03421,5.5,<5.5,144,79.0,87.7912,2.53736,#1f77b4,blue
87835,Doherty,19,2,2836,Wolves,6.13611,6.5,5.5-7.5,167,103.0,88.3522,2.64081,#6D597A,purple
87835,Doherty,20,2,1238,Spurs,5.72353,5.5,5.5-7.5,47,22.0,15.0579,0.92805,#6D597A,purple
87873,Dallas,20,2,3410,Leeds,4.83684,4.5,<5.5,171,102.0,39.3346,1.03326,#1f77b4,blue
88482,Morata,17,4,2055,Chelsea,10.3903,10.5,10+,122,75.0,69.2525,3.03296,#f7b267,orange
88482,Morata,18,4,936,Chelsea,8.7625,8.5,7.5-10,46,23.0,28.8009,2.76932,#E56B6F,red
88894,Barkley,18,3,1231,Chelsea,5.50741,5.5,5.5-7.5,79,42.0,34.8333,2.53536,#6D597A,purple
88894,Barkley,19,3,1095,Chelsea,5.6619,5.5,5.5-7.5,61,30.0,28.603,2.38135,#6D597A,purple
88894,Barkley,20,3,1566,Aston Villa,5.90385,6.5,5.5-7.5,76,33.0,37.0844,2.16703,#6D597A,purple
88900,Stephens,17,2,1980,Southampton,4.59091,4.5,<5.5,58,23.0,21.6448,1.15802,#1f77b4,blue
88900,Stephens,18,2,1697,Southampton,4.25417,4.5,<5.5,47,10.0,10.322,0.632387,#1f77b4,blue
88900,Stephens,19,2,2451,Southampton,4.36071,4.5,<5.5,85,37.0,26.43,0.945352,#1f77b4,blue
88900,Stephens,20,2,1537,Southampton,4.66667,4.5,<5.5,41,8.0,11.3552,0.878891,#1f77b4,blue
89085,Chalobah,19,3,919,Watford,4.40455,4.5,<5.5,36,7.0,8.123,0.889394,#1f77b4,blue
89470,Hernández,19,3,1374,Norwich,5.30769,5.5,<5.5,52,12.0,16.7017,1.09303,#1f77b4,blue
90105,Fraser,17,3,2003,Bournemouth,5.16154,5.5,<5.5,97,49.0,25.545,1.13067,#1f77b4,blue
90105,Fraser,18,3,3165,Bournemouth,6.07632,6.5,5.5-7.5,181,109.0,88.9927,2.52447,#6D597A,purple
90105,Fraser,19,3,2061,Bournemouth,7.02857,7.5,5.5-7.5,73,26.0,33.6438,1.50153,#6D597A,purple
90105,Fraser,20,3,922,Newcastle,5.67222,5.5,5.5-7.5,39,16.0,15.2745,1.47439,#6D597A,purple
90440,Trybull,19,3,1128,Norwich,4.475,4.5,<5.5,28,2.0,4.9433,0.386573,#1f77b4,blue
90517,Brady,17,3,1277,Burnley,5.5,5.5,5.5-7.5,56,30.0,17.7389,1.24553,#6D597A,purple
90517,Brady,20,3,1047,Burnley,5.0,5.5,<5.5,44,18.0,8.98652,0.830209,#1f77b4,blue
